"zhCN","zhTW","en","ja","ko","Key"
"通过WalletConnect协议连接DAPP授权，可快速交易","通過WalletConnect協定連接DAPP授權，可快速交易","Connect DAPP authorization through walletconnect protocol for quick transaction","WalletConnectプロトコルでDAPPに接続して授権します。迅速に取引できます。","WalletConnect 프로 토 콜 을 통 해 DAPP 인증 을 연결 하면 빠 른 거래 가 가능 합 니 다.","connectDAPPAuthorizationThroughWalletconnectProtocolToQuicklyTrade"
"连接详情","連接詳情","Connection Details ","接続の詳細","연결 정보","connectionDetails"
"详情","詳情","Details","詳細","상세 한 상황","details"
"连接状态","連接狀態","Connection Status","接続状態","연결 상태","connectionStatus"
"最近连接","最近連接","Recent Connection","最近の接続","최근 연결","recentConnection"
"主网","主網","Main-Net","メインネットワーク","메 인 네트워크","mainNetwork"
"授权交易","授權交易","Authorized Transaction","ライセンス取引","권한 수여 거래","authorizedTransaction"
"笔","筆","Pen","回","붓.","pen"
"授权连接","授權連接","Authorize Connection","接続を許可する","권한 부여 연결","authorizedConnection"
"连接地址","連接地址","Connection Address","接続アドレス","연결 주소","connectionAddress"
"断开连接","斷開連接","Disconnect","接続を切断","연결 을 끊다","disconnect"
"连接失败，请检查网络","連接失敗，請檢查網絡","Connection failed, please check the network","接続に失敗しました。ネットワークを確認してください。","연결 에 실 패 했 습 니 다. 네트워크 를 확인 하 십시오.","connectionFailedPleaseCheckTheNetwork"
"解锁 AITD Wallet","解鎖AITD Wallet","Unlock AITD Wallet","AITD Walletのロック解除","AITD 지갑 잠 금 해제","unlockAITDWallet"
"改用钱包密码","改用錢包密碼","Use wallet password instead","ウォレットのパスワードに変更します","지갑 비밀번호 변경","useWalletPasswordInstead"
"返回","返回","Return","戻す","뒷전","back"
"请选择网络","請選擇網絡","Please select a network","ネットワークを選択してください","네트워크 선택","pleaseSelectANetwork"
"添加网络是HD身份钱包的亮点功能，它可以将用户的同一套助记词复用到其它区块链网络，生成私钥和地址。新增钱包的名称和密码与身份钱包相同。","添加網絡是HD身份錢包的亮點功能，它可以將用戶的同一套助記詞複用到其它區塊鏈網絡，生成私密金鑰和地址。 新增錢包的名稱和密碼與身份錢包相同。","Adding network is the highlight function of HD identity wallet. It can reuse the same set of mnemonics of users to other blockchain networks to generate private keys and addresses. The name and password of the new wallet are the same as the identity wallet.","ネットワーク追加は、HDウォレットのハイライト機能であり、ユーザの同じセットのニーモニックコードを他のブロックチェーンネットワークに使って、プライベートキーとアドレスを生成することができる。ウォレットの名前とパスワードはアイデンティティウォレットと同じです。","네트워크 를 추가 하 는 것 은 HD 신분 지갑 의 하 이 라이트 기능 으로 사용자 의 같은 보조 단 어 를 다른 블록 체인 네트워크 에 재 활용 하여 비밀 키 와 주 소 를 생 성 할 수 있 습 니 다.새로 추 가 된 지갑 의 이름과 비밀 번 호 는 신분 지갑 과 같 습 니 다.","addingNetworkIsTheHighlightFunctionOfHDIdentityWalletItCanReuseTheSameSetOfMnemonicsOfUsersToOtherBlockchainNetworksToGeneratePrivateKeysAndAddressesTheNameAndPasswordOfTheNewWalletAreTheSameAsTheIdentityWallet"
"区块高度:","區塊高度：","Block height:","ブロックの高さ:","블록 높이:","blockHeight"
"选择节点","選擇節點","Select Nodes","ノードを選択","노드 선택","selectNode"
"其他","其他","Other","その他","기타","other"
"如何选择节点","如何選擇節點","How to select nodes","ノードの選択方法","노드 를 어떻게 선택 합 니까?","howToSelectNodes"
"1-优先区块高度大的。节点的作用是同步链上数据，区块高度越大，其数据同步更加完整。
2-优先延迟低的。网络延迟越低，数据越准确。","1-優先區塊高度大的。 節點的作用是同步鏈上數據，區塊高度越大，其資料同步更加完整。
2-優先延遲低的。 網路延遲越低，數據越準確。","1 - Higher altitude of Block is priority, the function of Node is to synchronize the data on-chain, the higher Block altitude will have highly integrated synchronized data.
2 - Low priority delay. The lower the network delay, the more accurate the data.","1-ブロックの高さが大きいものを優先。ノードの役割は、同期チェーン上のデータで、ブロックの高さが大きいほど、データ同期がより完全である。
2-遅延が低いものを優先。ネットワークの遅延が低いほど、データが正確になります。","1 - 우선 블록 높이 가 큰 것.노드 의 역할 은 동기 화 체인 의 데이터 입 니 다. 블록 높이 가 클 수록 데이터 동기 화가 더욱 완전 합 니 다. 
2 - 우선 지연 이 낮은 것.네트워크 지연 이 낮 을 수록 데이터 가 정확 하 다.","keyDesc"
"一般","一般","General","一般","여 간","commonly"
"请选择节点","請選擇節點","Please select a node","ノードを選択してください","노드 선택","pleaseSelectANode"
"节点设置","節點設定","Node Settings","ノードの設定","노드 설정","nodeSettings"
"手机没有开通指纹功能","手機沒有開通指紋功能","You have not turned on fingerprint setting on your phone","携帯に指紋機能が追加していません。","휴대 전화 에 지문 기능 이 개통 되 지 않 았 다.","thePhoneHasNoFingerprintFunction"
"解锁","解鎖","Unlock","アンロック","자 물 쇠 를 풀다","unlock"
"请验证指纹","請驗證指紋","Please verify the fingerprint","指紋を確認してください","지문 확인 해 주세요.","pleaseVerifyTheFingerprint"
"验证指纹通过后，继续下一步操作","驗證指紋通過後，繼續下一步操作","After verifying the fingerprint, Move on to the next step","指紋を検証した後、次の操作を続けます。","지문 검증 통과 후 다음 작업 계속","afterVerifyingTheFingerprintContinueToTheNextStep"
"识别失败","識別失敗","Recognition failed","認識が失敗しました","인식 실패","recognitionFailed"
"识别异常","識別异常","Recognition exceptions","認識異常","식별 이상","identifyExceptions"
"钱包密码错误","錢包密碼錯誤","Wallet password error","ウォレットのパスワードエラー","지갑 비밀번호 오류","walletPasswordError"
"验证密码","驗證密碼","Verify password","パスワードを検証","인증 암호","verifyPassword"
"请输入钱包密码","請輸入錢包密碼","Please enter your wallet password","ウォレットのパスワードを入力してください。","지갑 비밀 번 호 를 입력 하 세 요","pleaseEnterYourWalletPassword"
"发现新版本","發現新版本","New version found","新しいバージョンが見つかりました","새 버 전 발견","newVersionFound"
"更新","更新","To update","更新","업데이트","toUpdate"
"节点","節點","Node","ノード","노드","node"
"切换节点","切換節點","Switch Node","ノードを切り替え","전환 노드","switchNode"
"失败","失敗","Fail","失敗","실패 하 다.","fail"
"快","快","Fast","速い","빠르다.","fast"
"慢","慢","Slow","遅い","느리다","slow"
"语言","語言","Languages ","言語","언어.","languages"
"官网","官網","Official Website","公式サイト","홈 페이지","website"
"更多","更多","More","詳細","훨씬","more"
"扫码","掃碼","Scan Code","QRコードをスキャン","스 캔 코드","scan"
"取消","取消","Cancel","キャンセル","취소 하 다.","cancel"
"清空","清空","Clear","クリア","텅 비다","clear"
"全部","全部","All","全部","온통","all"
"转出","轉出","Transfer out","転出する","전출","transferOut"
"转入","轉入","Transferred in","導入","전입","transferIn"
"信息","資訊","Information","メッセージ","정보.","info"
"确定","確定","Confirm","確認","확정 하 다.","confirm"
"编号","編號","Serial Number","番号","번호","no"
"网络","網絡","Network","ネットワーク","네트워크","network"
"转账","轉帳","Transfer ","振替","대체 하 다","transfer"
"图标","圖標","Icon","アイコン","아이콘","icon"
"推荐","推薦","Recommendation ","おすすめ","추천 하 다.","recommend"
"私钥","私密金鑰","Private Key","プライベートキー","비밀 열쇠","privateKey"
"代币","代幣","Coins","トーケン","토큰","assets"
"作者","作者","Author","作者","저자.","author"
"平台","平臺","Platform","プラットフォーム","플랫폼","platform"
"导出","匯出","Export","エクスポート","도 출","export"
"描述","描述","Description","説明","묘사 하 다.","description"
"收款","收款","Receive","受け取り","돈 을 받다","receive"
"货币","貨幣","Currency","トーケン","화폐.","currency"
"英文","英文","English","英語","영어.","eng"
"密码","密碼","Password","パスワード","비밀 번호","pwd"
"完成","完成","Completed","完了","완성 하 다.","finish"
"好的","好的","Okay","はい","좋다","ok"
"名称","名稱","Name","名前","명칭.","name"
"版本","版本","Version","バージョン","판본","version"
"地址","地址","Address","アドレス","주소.","address"
"选择","選擇","Choose","選択","선택 하 다.","choose"
"更新","更新","Update","更新","업데이트","update"
"助记词","助記詞","Mnemonic Word","ニーモニックコード","조사","auxiliaryWord"
"已提交","已提交","Committed","提出済み","제출 됨","committed"
"余额","餘額","Balance","残高","잔고","balance"
"剪贴板","剪貼板","Clipboard","クリップボード","클립보드","clipboard"
"请使用","請使用","Please use","ご利用ください","사용 하 세 요","pleaseUse"
"购买者","購買者","Purchaser","購入者","구매자","purchaser"
"浏览器","瀏覽器","Browser","ブラウザ","브 라 우 저","browser"
"收藏品","收藏品","Collection","コレクション","소장 품","collection"
"矿工费","礦工費","Gas fee","マイナー代","광부 비","miningLaborFee"
"二维码","二維碼","QR Code","QRコード","QR 코드","qrCode"
"手续费","手續費","Handling Fee","手数料","수수료","fee"
"已添加","已添加","Has been added","追加しました","추가 됨","added"
"出售者","出售者","Sellers","販売者","판매자","sellers"
"转账至","轉帳至","Transfer to","振り込み先","입금","transferTo"
"账单详情","帳單詳情","Billing Details","請求書の詳細","계산서 상세 정보","billingDetail"
"验证密码","驗證密碼","Verify Password","パスワードを検証","인증 암호","verifyPwd"
"妥善保管","妥善保管","For Safe Keeping","適切に保管する","잘 보관 하 다","safekeeping"
"注意事项","注意事項","Notes","注意事項","주의 사항","notes"
"身份钱包","身份錢包","HD Wallet","個人用財布","신분 지갑","hdWallet"
"流转记录","流轉記錄","Transfer record","流通記録","유전 기록","transferRecord"
"资产详情","資產詳情","Asset Details","資産の詳細","자산 상세","assetDetails"
"全部转出","全部轉出","All transfer out","すべてを転送","전출","turnOut"
"创建钱包","創建錢包","Creating Wallets","ウォレットを作成","지갑 만 들 기","createWallet"
"确认转账","確認轉帳","Confirm transfer","振替確認","이체 확인","confirmTransfer"
"完成时间","完成時間","Complete Time","完了時間","완료 시간","finishTime"
"前往设置","前往設定","Head to Settings","設定します","설정 으로 가기","toSetting"
"收款地址","收款地址","Receiving address","入金先","수취 주소","receivingAddress"
"请勿传输","請勿傳輸","Please Do Not Transfer","転送しないでください","전송 하지 마 십시오.","dontTransfer"
"最近使用","最近使用","Recently used","最近使う","최근 사용","recentlyUsed"
"我知道了","我知道了","I know","分かりました","알 겠 습 니 다.","iKnow"
"代币列表","代幣清單","Coin's","トークンリスト","토 큰 리스트","tokenList"
"请勿截图","請勿截圖","Please do not screenshoot","キャプチャーしないでください","캡 처 하지 마 세 요.","dontCapture"
"在线客服","線上客服","Online customer service Representatives","オンラインサービス","온라인 고객 지원","customerService"
"邀请好友","邀請好友","Inviting Friends","親友を紹介","친구 초대","invite"
"修改成功","修改成功","Modify Successfully","修正できました","수정 성공","modify"
"版本日志","版本日誌","Version log","バージョンログ","버 전 로그","changeLog"
"导出私钥","匯出私密金鑰","Export Private Key","プライベートキーをエクスポート","비밀 키 내 보 내기","exportPrivateKey"
"钱包管理","錢包管理","Wallet Management","ウォレット管理","지갑 관리","managemer"
"删除钱包","删除錢包","Delete Wallet","ウォレットを削除","지갑 삭제","deleteWallet"
"安全中心","安全中心","Security Center ","安全センター","안전 센터","securityCenter"
"确认删除","確認删除","Confirm Deletion","削除します","삭제 확인","confirmDelete"
"删除成功","删除成功","Delete Successfully","削除できました","삭제 성공","confirmTheDeletion"
"添加币种","添加幣種","Add The Coins","トーケンを添加する","화폐 종류 를 첨가 하 다","addCurrency"
"区块高度","區塊高度","Block Height","ブロックの高さ","블록 높이","blockHeight"
"离线保存","離線保存","Off-Line Saving ","オフライン保存","오프라인 저장","offLineSaving"
"切换币种","切換幣種","Switch Coin","トーケンの種類を切り替える","화폐 종 류 를 바꾸다.","changeCurrency"
"添加网络","添加網絡","Add network","ネットワークを追加","네트워크 추가","addNetwork"
"繁体中文","繁體中文","Traditional Chinese","中国語","중국어","chineseTraditional"
"转账金额","轉帳金額","Transfer amount","振替金額","이체 금액","transferAmount"
"简体中文","簡體中文","Simplified Chinese","簡体字中国語","중국어 간 체","simplifiedChinese"
"货币单位","貨幣單位","Currency Unit","トーケン単位","화폐 단위","currencyUnit"
"系统消息","系統消息","System Message","システムメッセージ","시스템 메시지","sysMsg"
"转账消息","轉帳消息","Transfer Message","振替メッセージ","이체 소식","transferMsg"
"全部已读","全部已讀","Read All","すべて読みました","모두 읽 음","allRead"
"收款来自","收款來自","Receive From","入金は","수금","receiveFrom"
"消息中心","消息中心","Message Center","メッセージセンター","메시지 센터","msgCenter"
"地址管理","地址管理","Address Managemer","アドレス管理","주소 관리","addressManagemer"
"系统设置","系統設置","System Setting","システム設定","시스템 설정","sysSetting"
"高级模式","高級模式","Expert mode","エキスパートモード","고급 모드","expertMode"
"导入钱包","導入錢包","Import","ウォレットをインポート","지갑 가 져 오기","import"
"关于我们","關於我們","About Us","私たちについて","우리","aboutUs"
"交易成功","交易成功","Trade Successfully","取引ができました","거래 성공","tradeSuc"
"新建地址","新建地址","New Created Address","新規アドレス","새 주소","newAddress"
"复制成功","複製成功","Copy Successfully","コピーができました","복사 성공","copySuc"
"切换钱包","切換錢包","Change Wallet","ウォレットを切り替え","지갑 전환","changeWallet"
"返回首页","返回首頁","Back home","最初のページに戻ります","홈 페이지 로 돌아 가기","backHome"
"服务条款","服務條款","Service Clause","サービス条項","서비스 약관","serviceClause"
"隐私条款","隱私條款","Privacy Clause","プライバシー条項","프라이버시 조항","privacyClause"
"简单模式","簡單模式","Easy mode","シンプルモード","단순 모드","easyMode"
"我的消息","我的消息","My Messages","私のメッセージ","나의 소식","myMsg"
"钱包密码","錢包密碼","The wallet password","ウォレットのパスワード","지갑 비밀번호","walletPwd"
"交易ID","交易ID","Transaction ID","取引ID","거래 ID","transactionId"
"发现新版本","發現新版本","Find New Version","新しいバージョンが見つかりました","새 버 전 발견","findNewVersion"
"忘记密码","忘記密碼","Forgot Password","パスワードを忘れました","비밀 번 호 를 잊다","forgotPwd"
"请输入密码","請輸入密碼","Please Enter Password","パスワードを入力してください","비밀 번 호 를 입력 하 세 요","pleaseEnterPwd"
"Gas限制","Gas限制","Gas limit","Gas制限","가스 제한","gasLimit"
"备份助记词","備份助記詞","Back-up Mnemonic ","ニーモニックコードをバックアップ","백업","backUpAuxWord"
"已添加代币","已添加代幣","Coins have been added","トークンを追加しました","토 큰 추가 됨","haveBeedAddToken"
"复制助记词","複製助記詞","Copy Mnemonic Word","ニーモニックコードをコピーする","복사","copyAuxiliary"
"清空输入框","清空輸入框","Clear the input box","入力欄を空にします","입력 상자 비우 기","clearInputBox"
"Gas价格","Gas價格","Gas price","Gas代","가스 가격","gasPrice"
"请直接扫描","請直接掃描","Please Scan Directly","直接スキャンしてください","직접 스 캔 하 세 요.","pleaseScan"
"更改钱包名称","更改錢包名稱","Change  Name","ウォレットの名前を変更","지갑 이름 변경","changeWalletName"
"创建单链钱包","創建單鏈錢包","Create a single chain wallet","シングルチェーンウォレットを作成","단일 체인 지갑 만 들 기","createSignleWallet"
"钱包密码错误","錢包密碼錯誤","Wrong Password Error","ウォレットのパスワードエラー","지갑 비밀번호 오류","walletPwdErr"
"修改安全密码","修改安全密碼","Change Security Password","セキュリティパスワードの変更","보안 암호 수정","changeSecPwd"
"密码可见开关","密碼可見開關","Password visible switch","パスワード表示スイッチ","암호 가시 스위치","pwdVisibleSwitch"
"开启指纹/人脸支付","開啟指紋/人臉支付","Enable fingerprint/face payment","指紋を開く/顔認証で支払う","지문 / 얼굴 결제 오픈","enableFacePayment"
"开启指纹/人脸登录","開啟指紋/人臉登入","Enable fingerprint/face login","指紋を開く/顔認証で登録する","지문 / 얼굴 등록 오픈","enableFaceLogin"
"我的DApp","我的DApp","My dapps","私のDApp","나의 DApp","myDapps"
"前往DApp","前往DApp","To Dapps","DAppに行きます","DApp 로 가기","toDapps"
"HD身份钱包","HD身份錢包","HD Wallet","HDアイデンティティーウォレット","HD 신분 지갑","hdWallet"
"设置钱包密码","設定錢包密碼","Set wallet password","ウォレットのパスワードを設定","지갑 비밀번호 설정","setWalletPwd"
"确保周边安全","確保周邊安全","Ensure Perimeter Area Security","周辺の安全を確保する","주변 안전 확보","ensurePerimeterSec"
"导入单链钱包","導入單鏈錢包","Import a single chain wallet","シングルチェーンウォレットをインポート","단일 체인 지갑 가 져 오기","importSingleWallet"
"请选择钱包类型","請選擇錢包類型","Please Select Wallet Type","ウォレットの種類を選択してください","지갑 종류 선택","chooseWalletType"
"请输入安全密码","請輸入安全密碼","Please Enter Safe Password","セキュリティパスワードを入力してください。","보안 비밀 번 호 를 입력 하 세 요","enterSafePwd"
"请输入钱包密码","請輸入錢包密碼","Please enter wallet password","ウォレットのパスワードを入力してください。","지갑 비밀 번 호 를 입력 하 세 요","enterWalletPwd"
"请输入钱包名称","請輸入錢包名稱","Please enter name of the wallet","ウォレットの名前を入力してください。","지갑 이름 입력","pleaseEnterWalletName"
"当前已是最新版","當前已是最新版","Current is the latest version","現在は最新版です。","현재 최신 버 전 입 니 다.","itIsCurrentlyTheLatestVersion"
"忘记密码怎么办","忘記密碼怎麼辦","What If I Forgot My Password","パスワードを忘れたらどうすればいいですか？","비밀번호 까 먹 으 면 어 떡 해.","whatIfIForgotMyPassword"
"两次密码不一致","兩次密碼不一致","The two passwords are inconsistent with each other","二回のパスワードが一致しません。","두 번 의 비밀번호 가 일치 하지 않 습 니 다.","theTwoPasswordsAreInconsistent"
"请输入收款地址","請輸入收款地址","Please enter the receiving address","入金先を入力してください。","입금 주소 입력","pleaseEnterTheCollectionAddress"
"还没添加过钱包","還沒添加過錢包","Haven't added wallet yet","まだウォレットを追加していません。","아직 지갑 을 추가 한 적 이 없어 요.","iHaventAddedAWalletYet"
"请再次输入密码","請再次輸入密碼","Please enter the password again","パスワードをもう一度入力してください。","비밀 번 호 를 다시 입력 하 세 요","pleaseEnterThePasswordAgain"
"请选择导入方式","請選擇導入管道","Please Select Ways To Import","インポート方式を選択してください","가 져 오 는 방법 을 선택 하 십시오","pleaseSelectTheImportMethod"
"请输入转账地址","請輸入轉帳地址","Please enter the transfer address","振替のアドレスを入力してください。","계좌 이체 주 소 를 입력 하 세 요","pleaseEnterTheTransferAddress"
"去中心化多链钱包","去中心化多鏈錢包","Decentralized Multi-Chain Wallet","脱中心化ウォレット","탈 중심 화 멀 티 체인 지갑","decentralizedMultiChainWallet"
"创建HD身份钱包","創建HD身份錢包","Create HD identity wallet","HDアイデンティティーウォレットを作成します","HD 신분 지갑 만 들 기","createHdIdentityWallet"
"导入HD身份钱包","導入HD身份錢包","Import HD identity wallet","HDウォレットを導入","HD 신분 지갑 가 져 오기","importHdIdentityWallet"
"只能输入≥1的数字","只能輸入≥1的數位","Only numbers ≥ 1 can be entered","≧1の数字しか入力できません","≥ 1 의 숫자 만 입력 할 수 있다","onlyNumbersCanBeEntered"
"输入代币名称或合约地址","輸入代幣名稱或合約地址","Enter coin or contract address ","トーケン名称また契約アドレスを入力","계약 주소 입력 찾기","pleaseEnterTheContractAddressToFind"
"你尚未设置钱包密码","你尚未設定錢包密碼","You haven't set your wallet password yet","ウォレットのパスワードが設定されていません。","지갑 비밀 번 호 를 설정 하지 않 았 습 니 다.","dontSetWalletPwd"
"价值流通，安全快速","價值流通，安全快速","Value circulation is safer and faster","価値が流通し、安全が迅速である。","가치 유통, 안전 신속","valueCirculationIsSaferAndFaster"
"即时透明，坐享收益","即時透明，坐享收益","Instant and transparent, enjoy earnings easily","リアルタイム透明、座って収益を享受する","즉시 투명, 앉 아서 수익 을 누 립 니 다.","instantTransparencyEnjoyEarningsEasily"
"备份助记词(推荐)","備份助記詞（推薦）","Backup mnemonics (recommended)","バックアップ助詞（推奨）","백업 보조 단어 (추천)","backupMnemonics"
"交易数据已签名广播","交易數據已簽名廣播","Transaction data signed and broadcasted","取引データは署名放送されました。","거래 데이터 서명 방송","transactionDataSignedBroadcast"
"资产安全，悉心守护","資產安全，悉心守護","Assets safety, Devoting all the attention into guarding assets","資産の安全を心をこめて守る。","자산 안전, 세 심하게 수호","assetsSafetyNotes"
"导出Keystore","匯出Keystore","Export Keystore","Keystoreエクスポート","키 저장 소 내 보 내기","exportKeystore"
"输入错误，请重新输入","輸入錯誤，請重新輸入","Input error, please re-enter","入力エラー、再入力してください。","입력 오류, 다시 입력 하 세 요","inputErrorPleaseReEnter"
"一套助记词管理所有资产","一套助記詞管理所有資產","A set of mnemonics manages all assets","一式の助数詞はすべての資産を管理する。","보조 기사 한 세트 로 모든 자산 을 관리 하 다.","aSetOfMnemonicsManagesAllAssets"
"通过输入明文私钥导入钱包","通過輸入明文私密金鑰導入錢包","Import wallet by entering plaintext private key","秘密鍵を入力してウォレットをインポートします","비밀 키 입력 으로 지갑 가 져 오기","importWalletByEnteringPlaintextPrivateKey"
"搜索Dapp或者输入链接","蒐索Dapp或者輸入連結","Search DAPP or enter a link","Dapp検索またはリンク入力","Dapp 검색 또는 링크 입력","searchDappOrEnterALink"
